"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","4,176.6","3,942.8","4,213.2","3,710.9","992.10M","5.67%"
"08/01/2024","3,952.5","3,893.4","3,953.4","3,558.8","867.13M","1.40%"
"07/01/2024","3,898.0","3,748.9","4,042.3","3,646.3","994.21M","4.20%"
"06/01/2024","3,740.9","3,846.8","3,859.1","3,673.3","856.40M","-2.67%"
"05/01/2024","3,843.6","3,835.0","4,034.0","3,768.9","970.52M","0.11%"
"04/01/2024","3,839.1","4,107.1","4,146.5","3,832.2","928.67M","-6.52%"
"03/01/2024","4,107.0","3,841.9","4,115.4","3,820.4","988.67M","6.96%"
"02/01/2024","3,839.7","3,608.1","3,846.8","3,600.1","1.01B","6.60%"
"01/01/2024","3,601.9","3,583.1","3,659.8","3,439.0","910.29M","0.10%"
"12/01/2023","3,598.1","3,277.9","3,624.9","3,277.4","972.70M","9.80%"
"11/01/2023","3,276.8","3,018.8","3,287.9","2,996.8","967.22M","8.53%"
"10/01/2023","3,019.4","3,231.9","3,305.3","3,000.0","852.59M","-6.68%"
"09/01/2023","3,235.7","3,466.4","3,491.3","3,204.5","1.77B","-6.12%"
"08/01/2023","3,446.4","3,498.2","3,551.7","3,294.6","2.54B","-1.61%"
