"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2024","79.25","79.25","79.25","79.25","","-6.16%"
"07/01/2024","84.45","84.45","84.45","84.45","","-1.52%"
"06/01/2024","85.75","85.75","85.75","85.75","","-3.22%"
"05/01/2024","88.60","88.60","88.60","88.60","","-1.83%"
"04/01/2024","90.25","90.25","90.25","90.25","","2.04%"
"03/01/2024","88.45","88.45","88.45","88.45","","-6.60%"
"02/01/2024","94.70","94.70","94.70","94.70","","-6.52%"
"01/01/2024","101.30","101.30","101.30","101.30","","10.59%"
"12/01/2023","91.60","91.60","91.60","91.60","","13.65%"
"11/01/2023","80.60","80.60","80.60","80.60","","8.04%"
"10/01/2023","74.60","75.00","75.00","75.00","0.00K","46.13%"
"02/01/2023","51.05","51.05","51.05","51.05","","0.39%"
"01/01/2023","50.85","50.85","50.85","50.85","","3.78%"
"12/01/2022","49.00","49.00","49.00","49.00","","-1.90%"
"11/01/2022","49.95","49.95","49.95","49.95","","-5.40%"
"10/01/2022","52.80","52.80","52.80","52.80","","7.76%"
"09/01/2022","49.00","49.00","49.00","49.00","","-8.07%"
"08/01/2022","53.30","53.30","53.30","53.30","","7.35%"
"07/01/2022","49.65","49.65","49.65","49.65","","-2.36%"
"06/01/2022","50.85","50.85","50.85","50.85","","4.95%"
"05/01/2022","48.45","48.45","48.45","48.45","","-8.76%"
"04/01/2022","53.10","62.50","62.50","62.50","0.00K","-9.39%"
"03/01/2022","58.60","50.35","58.95","50.35","0.02K","19.71%"
"02/01/2022","48.95","49.50","49.50","49.50","0.00K","11.25%"
"01/01/2022","44.00","44.00","44.00","44.00","","2.21%"
"09/01/2021","43.05","47.75","47.75","45.00","0.01K","27.74%"
"08/01/2021","33.70","33.70","33.70","33.70","","4.01%"
"07/01/2021","32.40","32.40","32.40","32.40","","-0.15%"
"06/01/2021","32.45","32.45","32.45","32.45","","3.02%"
"05/01/2021","31.50","31.50","31.50","31.50","0.06K","7.33%"
"04/01/2021","29.35","29.35","29.35","29.35","","-6.38%"
"03/01/2021","31.35","31.35","31.35","31.35","","10.19%"
"02/01/2021","28.45","28.45","28.45","28.45","","-5.48%"
"01/01/2021","30.10","30.10","30.10","30.10","","-1.95%"
"12/01/2020","30.70","30.70","30.70","30.70","","5.32%"
"11/01/2020","29.15","29.15","29.15","29.15","","-0.85%"
"10/01/2020","29.40","32.35","32.35","32.35","0.00K","-1.67%"
"09/01/2020","29.90","29.90","29.90","29.90","","-4.78%"
"08/01/2020","31.40","31.40","31.40","31.40","","-1.57%"
"07/01/2020","31.90","31.90","31.90","31.90","","-2.00%"
"06/01/2020","32.55","33.80","33.80","33.80","0.01K","-4.41%"
"05/01/2020","34.05","35.05","35.05","35.05","0.00K","1.64%"
"04/01/2020","33.50","26.70","32.10","26.70","0.01K","22.26%"
"03/01/2020","27.40","27.40","27.40","27.40","","10.04%"
"02/01/2020","24.90","24.90","24.90","24.90","0.60K","0.40%"
"01/01/2020","24.80","24.85","24.85","24.85","0.00K","-1.00%"
"12/01/2019","25.05","25.05","25.05","25.05","","-4.21%"
"11/01/2019","26.15","26.15","26.15","26.15","","9.41%"
"10/01/2019","23.90","23.90","23.90","23.90","","-6.46%"
"09/01/2019","25.55","25.55","25.55","25.55","0.60K","0.99%"
"08/01/2019","25.30","25.30","25.30","25.30","","-0.20%"
"07/01/2019","25.35","25.35","25.35","25.35","","2.84%"
"06/01/2019","24.65","24.65","24.65","24.65","0.60K","2.71%"
"05/01/2019","24.00","25.15","25.15","25.15","0.00K","-4.76%"
