"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","11,296.38","10,970.93","11,421.60","10,970.93","6.81B","2.97%"
"08/01/2024","10,970.93","12,012.52","12,224.91","10,597.20","36.72B","-7.54%"
"07/01/2024","11,865.36","12,169.86","12,888.97","11,600.08","42.33B","-1.85%"
"06/01/2024","12,089.04","12,010.88","12,304.98","11,252.38","30.38B","0.88%"
"05/01/2024","11,983.60","11,336.42","12,866.60","11,270.69","58.55B","6.08%"
"04/01/2024","11,296.29","10,026.45","11,437.93","9,686.15","42.48B","14.37%"
"03/01/2024","9,876.76","9,783.42","10,165.91","9,230.40","44.57B","1.23%"
"02/01/2024","9,756.34","9,016.72","10,026.85","9,016.72","57.62B","8.35%"
"01/01/2024","9,004.79","7,960.72","9,086.39","7,717.65","48.26B","14.16%"
"12/01/2023","7,887.70","8,275.25","8,493.06","7,550.25","39.39B","-3.13%"
"11/01/2023","8,142.41","7,805.72","8,366.66","7,482.61","44.82B","4.98%"
"10/01/2023","7,755.96","8,547.34","8,775.16","7,645.00","59.12B","-8.85%"
"09/01/2023","8,508.64","7,729.95","8,546.04","7,590.40","73.95B","10.73%"
"08/01/2023","7,684.32","6,864.54","7,913.14","6,768.06","91.99B","11.91%"
"07/01/2023","6,866.23","5,553.48","6,886.56","5,553.48","75.04B","25.36%"
"06/01/2023","5,477.10","4,660.72","5,502.31","4,660.72","48.29B","18.56%"
"05/01/2023","4,619.58","4,413.81","5,007.76","4,117.81","43.89B","4.81%"
"04/01/2023","4,407.54","4,640.65","4,965.87","4,376.91","31.57B","-5.62%"
"03/01/2023","4,670.17","4,832.32","5,371.72","4,622.33","59.14B","-3.00%"
"02/01/2023","4,814.65","4,648.57","4,833.37","3,884.17","33.80B","4.23%"
"01/01/2023","4,619.46","5,450.93","5,567.52","4,307.46","72.95B","-14.27%"
"12/01/2022","5,388.61","4,891.71","5,458.82","4,569.94","98.70B","11.56%"
"11/01/2022","4,830.24","3,912.48","4,849.93","3,879.18","109.11B","24.00%"
"10/01/2022","3,895.24","3,131.31","4,013.81","3,131.31","82.91B","25.03%"
"09/01/2022","3,115.44","3,206.40","4,100.13","3,002.52","107.47B","-2.91%"
"08/01/2022","3,208.74","2,570.42","3,280.59","2,570.42","96.42B","25.45%"
"07/01/2022","2,557.74","2,338.05","2,565.16","2,292.04","37.18B","9.35%"
"06/01/2022","2,339.13","2,391.87","2,515.63","2,319.23","52.30B","-2.03%"
"05/01/2022","2,387.71","2,326.65","2,392.38","2,232.99","45.27B","3.75%"
"04/01/2022","2,301.47","2,037.78","2,395.40","2,026.07","71.48B","13.10%"
"03/01/2022","2,034.96","1,780.01","2,055.72","1,748.72","43.22B","15.56%"
"02/01/2022","1,760.94","1,919.02","1,950.45","1,696.87","37.61B","-7.84%"
"01/01/2022","1,910.70","1,761.96","1,938.07","1,755.61","51.19B","8.93%"
"12/01/2021","1,754.06","1,705.07","2,197.16","1,698.07","79.96B","3.81%"
"11/01/2021","1,689.72","1,465.06","1,743.09","1,443.45","66.15B","15.85%"
"10/01/2021","1,458.53","1,352.62","1,460.51","1,336.93","34.89B","7.17%"
"09/01/2021","1,360.99","1,438.29","1,450.78","1,323.42","34.75B","-5.06%"
"08/01/2021","1,433.55","1,322.99","1,434.91","1,316.45","33.00B","8.81%"
"07/01/2021","1,317.45","1,289.82","1,343.40","1,273.97","20.37B","2.48%"
"06/01/2021","1,285.58","1,335.02","1,398.05","1,276.58","36.37B","-3.41%"
"05/01/2021","1,330.99","1,313.82","1,380.88","1,306.83","29.38B","1.49%"
"04/01/2021","1,311.44","1,346.05","1,390.71","1,220.87","39.03B","-2.03%"
"03/01/2021","1,338.64","1,551.74","1,621.99","1,261.22","58.32B","-12.37%"
"02/01/2021","1,527.62","1,560.27","1,681.06","1,505.55","71.29B","-1.23%"
"01/01/2021","1,546.65","1,574.46","1,669.76","1,498.83","84.09B","-1.18%"
"12/01/2020","1,565.13","1,397.93","1,577.25","1,384.62","86.14B","13.37%"
"11/01/2020","1,380.57","1,175.95","1,459.38","1,169.32","98.30B","17.92%"
"10/01/2020","1,170.73","1,199.58","1,316.59","1,153.92","78.38B","-2.16%"
"09/01/2020","1,196.57","1,118.02","1,197.80","1,102.44","56.34B","7.36%"
"08/01/2020","1,114.53","1,196.69","1,201.02","1,026.08","59.15B","-5.66%"
"07/01/2020","1,181.42","1,263.20","1,289.25","1,171.80","75.83B","-5.79%"
