"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2025","18,186.81","18,441.09","18,492.54","18,166.07","86.75M","-1.26%"
"04/03/2025","18,419.37","18,495.15","18,797.48","18,314.29","227.74M","-0.35%"
"04/02/2025","18,483.32","18,499.76","18,678.13","18,323.98","180.94M","-0.22%"
"03/28/2025","18,524.21","18,265.07","18,524.21","17,891.07","198.96M","1.48%"
"03/27/2025","18,254.14","18,433.59","18,496.06","18,199.04","298.91M","0.24%"
"03/26/2025","18,209.81","18,203.09","18,439.26","18,024.61","293.81M","-0.11%"
"03/25/2025","18,229.05","18,559.92","18,830.79","17,835.60","303.83M","0.19%"
"03/24/2025","18,195.01","17,194.61","18,210.58","17,069.63","298.42M","7.04%"
"03/21/2025","16,998.09","18,022.34","18,022.34","16,612.23","256.12M","-5.53%"
"03/20/2025","17,992.76","17,376.53","18,412.95","17,376.53","309.39M","3.92%"
"03/19/2025","17,313.85","17,957.58","18,778.26","17,194.23","290.38M","-9.04%"
"03/18/2025","19,035.50","18,875.97","19,088.82","18,720.95","253.25M","0.96%"
"03/17/2025","18,855.24","18,397.57","18,873.41","18,397.57","253.97M","2.66%"
"03/14/2025","18,366.18","18,365.17","18,399.54","18,230.11","210.28M","0.56%"
"03/13/2025","18,263.64","18,146.27","18,616.25","18,022.56","269.43M","1.00%"
"03/12/2025","18,082.44","18,273.42","18,305.46","17,965.59","316.14M","-1.07%"
"03/11/2025","18,278.17","17,571.98","18,415.35","17,521.15","399.57M","3.70%"
"03/10/2025","17,625.29","17,269.53","17,751.77","17,269.22","354.83M","2.09%"
"03/07/2025","17,263.88","17,578.07","17,833.32","17,033.33","450.17M","-1.67%"
"03/06/2025","17,557.47","16,701.52","17,557.47","16,683.99","408.50M","5.77%"
"03/05/2025","16,600.00","16,122.92","16,638.77","15,963.80","390.32M","3.24%"
"03/04/2025","16,079.75","15,919.71","16,169.47","15,792.80","257.39M","0.92%"
"03/03/2025","15,932.78","15,566.39","16,086.21","15,544.56","234.64M","3.39%"
"02/28/2025","15,411.11","14,991.16","15,452.73","14,937.96","223.86M","2.89%"
"02/27/2025","14,977.67","14,488.98","14,995.46","14,424.67","200.99M","3.37%"
"02/26/2025","14,489.71","14,181.56","14,627.28","14,166.93","183.10M","3.45%"
"02/25/2025","14,006.37","14,455.47","14,491.05","13,999.47","128.52M","-2.84%"
"02/24/2025","14,415.89","14,358.27","14,532.42","14,334.84","102.04M","1.09%"
"02/21/2025","14,260.77","14,566.35","14,566.35","14,121.07","172.29M","-2.05%"
"02/20/2025","14,559.96","14,480.26","14,609.98","14,300.50","129.43M","0.73%"
"02/19/2025","14,454.55","14,507.51","14,664.00","14,424.12","172.84M","-0.55%"
"02/18/2025","14,534.48","14,265.93","14,552.28","14,243.87","179.89M","1.87%"
"02/17/2025","14,267.00","14,106.01","14,288.34","14,099.32","138.69M","1.16%"
"02/14/2025","14,103.72","14,090.17","14,205.43","13,941.58","146.25M","0.31%"
"02/13/2025","14,059.47","13,972.42","14,123.77","13,859.71","126.21M","0.80%"
"02/12/2025","13,948.07","14,431.10","14,466.22","13,948.07","150.22M","-3.18%"
"02/11/2025","14,406.05","14,383.33","14,457.84","14,329.51","112.80M","-0.06%"
"02/10/2025","14,414.72","14,903.34","14,921.05","14,377.77","127.90M","-3.18%"
"02/07/2025","14,887.65","14,816.75","14,942.79","14,749.09","115.27M","0.54%"
"02/06/2025","14,808.41","14,846.62","15,010.93","14,787.57","116.17M","0.34%"
"02/05/2025","14,758.81","15,144.24","15,146.38","14,643.17","116.20M","-2.44%"
"02/04/2025","15,127.85","15,090.77","15,279.50","15,045.58","98.07M","0.55%"
"02/03/2025","15,045.82","15,174.49","15,174.49","15,005.25","97.14M","-1.21%"
"01/31/2025","15,230.78","15,275.62","15,375.03","15,209.17","106.38M","-0.17%"
"01/30/2025","15,257.02","15,250.15","15,336.07","15,175.91","117.99M","0.09%"
