Release Date	Time	Actual	Forecast	Previous		
Aug 30, 2024 (Aug)	16:45	46.1	45.0	45.3	
Jul 31, 2024 (Jul)	16:45	45.3	44.8	47.4	
Jun 28, 2024 (Jun)	16:45	47.4	39.7	35.4	
May 31, 2024 (May)	16:45	35.4	41.1	37.9	
Apr 30, 2024 (Apr)	16:45	37.9	44.9	41.4	
Mar 28, 2024 (Mar)	16:45	41.4	45.9	44.0	
Feb 29, 2024 (Feb)	17:45	44.0	48.1	46.0	
Jan 31, 2024 (Jan)	17:45	46.0	48.0	47.2	
Dec 29, 2023 (Dec)	17:45	46.9	51.0	55.8	
Nov 30, 2023 (Nov)	17:45	55.8	45.4	44.0	
Oct 31, 2023 (Oct)	16:45	44.0	45.0	44.1	
Sep 29, 2023 (Sep)	16:45	44.1	47.6	48.7	
Aug 31, 2023 (Aug)	16:45	48.7	44.1	42.8	
	
