Release Date,Time,Actual,Forecast,Previous
"Jul 14, 2024 (Q2)",22:00,4.7%,5.1%,5.3%
"Apr 15, 2024 (Q1)",22:00,5.3%,4.8%,5.2%
"Jan 16, 2024 (Q4)",22:00,5.2%,5.3%,4.9%
"Oct 17, 2023 (Q3)",22:00,4.9%,4.4%,6.3%
"Jul 16, 2023 (Q2)",22:00,6.3%,7.3%,4.5%
"Apr 17, 2023 (Q1)",22:00,4.5%,4.0%,2.9%
"Jan 16, 2023 (Q4)",22:00,2.9%,1.8%,3.9%
"Oct 23, 2022 (Q3)",22:00,3.9%,3.4%,0.4%
"Jul 14, 2022 (Q2)",22:00,0.4%,1.0%,4.8%
"Apr 17, 2022 (Q1)",22:00,4.8%,4.4%,4.0%
"Jan 16, 2022 (Q4)",22:00,4.0%,3.6%,4.9%
"Oct 17, 2021 (Q3)",22:00,4.9%,5.2%,7.9%
"Jul 14, 2021 (Q2)",22:00,7.9%,8.1%,18.3%
"Apr 15, 2021 (Q1)",22:00,18.3%,19.0%,6.5%
"Jan 17, 2021 (Q4)",22:00,6.5%,6.1%,4.9%
"Oct 18, 2020 (Q3)",22:00,4.9%,5.2%,3.2%
"Jul 15, 2020 (Q2)",22:00,3.2%,2.5%,-6.8%
"Apr 16, 2020 (Q1)",22:00,-6.8%,-6.5%,6.0%
"Jan 16, 2020 (Q4)",22:00,6.0%,6.0%,6.0%
"Oct 17, 2019 (Q3)",22:00,6.0%,6.1%,6.2%
"Jul 14, 2019 (Q2)",22:00,6.2%,6.2%,6.4%
"Apr 16, 2019 (Q1)",22:00,6.4%,6.3%,6.4%
"Jan 20, 2019 (Q4)",22:00,6.4%,6.4%,6.5%
"Oct 18, 2018 (Q3)",22:00,6.5%,6.6%,6.7%
"Jul 15, 2018 (Q2)",22:00,6.7%,6.7%,6.8%
"Apr 16, 2018 (Q1)",22:00,6.8%,6.8%,6.8%
"Jan 18, 2018 (Q4)",3:00,6.8%,6.7%,6.8%
"Oct 18, 2017 (Q3)",22:00,6.8%,6.8%,6.9%
"Jul 16, 2017 (Q2)",22:00,6.9%,6.8%,6.9%
"Apr 16, 2017 (Q1)",22:00,6.9%,6.8%,6.8%
"Jan 19, 2017 (Q4)",22:00,6.8%,6.7%,6.7%
"Oct 18, 2016 (Q3)",22:00,6.7%,6.7%,6.7%
"Jul 14, 2016 (Q2)",22:00,6.7%,6.6%,6.7%
"Apr 14, 2016 (Q1)",22:00,6.7%,6.7%,6.8%
"Jan 18, 2016 (Q4)",22:00,6.8%,6.8%,6.9%
"Oct 18, 2015 (Q3)",22:00,6.9%,6.8%,7.0%
"Jul 14, 2015 (Q2)",22:00,7.0%,6.9%,7.0%
"Apr 14, 2015 (Q1)",22:00,7.0%,7.0%,7.3%
"Jan 19, 2015 (Q4)",22:00,7.3%,7.2%,7.3%
"Oct 20, 2014 (Q3)",22:00,7.3%,7.2%,7.5%
"Jul 15, 2014",22:00,7.5%,7.4%,7.4%
"Apr 15, 2014",22:00,7.4%,7.3%,7.7%
"Jan 19, 2014",22:00,7.7%,7.6%,7.8%
"Oct 17, 2013",22:00,7.8%,7.8%,7.5%
"Jul 14, 2013",22:00,7.5%,7.5%,7.7%
"Apr 14, 2013",22:00,7.7%,8.0%,7.9%
"Jan 17, 2013",22:00,7.9%,7.8%,7.4%
"Oct 17, 2012",22:00,7.4%,7.4%,7.6%
"Jul 12, 2012",22:00,7.6%,7.6%,8.1%
"Apr 12, 2012",22:00,8.1%,8.3%,8.9%
"Jan 16, 2012",22:00,8.9%,8.8%,9.1%
"Oct 17, 2011",22:00,9.1%,9.2%,9.5%
"Jul 12, 2011",22:00,9.5%,9.5%,9.7%
"Apr 14, 2011",22:00,9.7%,9.4%,9.8%
"Jan 19, 2011",22:00,9.8%,9.5%,9.6%
