"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","361.59","335.51","365.94","331.21","3.78B","7.36%"
"06/01/2024","336.79","333.45","340.51","328.29","3.18B","1.30%"
"05/01/2024","332.48","317.10","340.88","316.61","3.83B","4.80%"
"04/01/2024","317.24","346.21","346.21","312.50","3.64B","-8.35%"
"03/01/2024","346.13","341.85","351.89","336.00","3.73B","1.06%"
"02/01/2024","342.50","335.58","344.00","325.94","4.35B","1.97%"
"01/01/2024","335.87","352.26","357.00","334.98","4.24B","-4.97%"
"12/01/2023","353.42","326.41","357.91","325.61","4.25B","8.19%"
"11/01/2023","326.66","291.69","327.11","289.93","4.07B","12.11%"
"10/01/2023","291.38","301.53","308.90","281.93","4.24B","-3.75%"
"09/01/2023","302.72","330.54","331.39","298.17","3.53B","-7.92%"
"08/01/2023","328.75","339.21","340.38","315.36","3.71B","-3.25%"
"07/01/2023","339.81","333.06","348.72","329.40","3.41B","1.68%"
"06/01/2023","334.21","318.08","336.12","315.19","4.25B","4.97%"
"05/01/2023","318.38","331.35","332.78","309.63","4.03B","-4.15%"
"04/01/2023","332.15","328.56","333.49","319.97","3.17B","0.74%"
"03/01/2023","329.70","335.71","344.62","304.19","5.13B","-2.48%"
"02/01/2023","338.10","358.79","373.52","336.51","3.56B","-6.14%"
"01/01/2023","360.20","330.37","360.49","324.74","3.60B","9.90%"
"12/01/2022","327.76","349.18","351.89","321.41","4.04B","-5.41%"
"11/01/2022","346.51","329.80","346.51","311.32","3.98B","6.14%"
"10/01/2022","326.46","321.22","331.46","294.40","4.56B","2.98%"
"09/01/2022","317.01","363.17","380.90","312.15","5.45B","-13.21%"
"08/01/2022","365.28","386.79","400.60","364.59","3.96B","-5.88%"
"07/01/2022","388.12","356.17","389.53","350.51","3.86B","8.78%"
"06/01/2022","356.80","386.69","387.83","336.86","5.71B","-7.47%"
"05/01/2022","385.60","405.03","405.97","361.59","5.68B","-4.47%"
"04/01/2022","403.64","421.84","439.95","403.00","4.00B","-4.08%"
"03/01/2022","420.81","397.91","430.64","393.24","4.65B","6.04%"
"02/01/2022","396.83","416.14","420.46","379.06","4.30B","-4.67%"
"01/01/2022","416.27","454.34","454.56","393.84","3.88B","-8.20%"
"12/01/2021","453.47","420.85","456.48","410.10","3.88B","8.91%"
"11/01/2021","416.38","427.27","433.10","416.37","3.66B","-2.38%"
"10/01/2021","426.51","400.60","432.42","395.04","3.03B","7.01%"
"09/01/2021","398.58","425.65","434.54","398.57","3.46B","-6.11%"
"08/01/2021","424.54","418.06","424.90","410.49","3.03B","1.98%"
"07/01/2021","416.28","397.63","421.30","396.73","3.18B","4.60%"
"06/01/2021","397.98","392.48","412.63","391.43","3.61B","1.82%"
"05/01/2021","390.87","388.34","392.03","371.04","2.92B","0.90%"
"04/01/2021","387.37","361.15","388.07","359.75","2.85B","7.90%"
"03/01/2021","359.01","345.64","363.74","328.49","3.75B","5.14%"
"02/01/2021","341.47","336.08","354.98","332.83","2.98B","2.09%"
"01/01/2021","334.49","336.41","342.94","319.29","3.09B","-0.36%"
"12/01/2020","335.70","332.54","337.74","324.71","3.56B","1.91%"
"11/01/2020","329.40","308.13","348.19","306.45","3.95B","8.08%"
"10/01/2020","304.78","315.65","332.71","300.65","3.11B","-3.05%"
"09/01/2020","314.37","321.87","333.32","301.85","4.48B","-2.83%"
"08/01/2020","323.53","321.47","330.25","314.39","4.34B","0.09%"
"07/01/2020","323.24","311.63","325.79","303.58","5.35B","4.05%"
"06/01/2020","310.65","305.13","340.58","297.73","9.46B","1.91%"
"05/01/2020","304.82","292.23","310.04","262.35","7.22B","1.74%"
"04/01/2020","299.62","261.05","315.88","249.00","8.49B","8.89%"
"03/01/2020","275.16","347.89","374.81","221.06","10.62B","-20.49%"
"02/01/2020","346.06","373.72","395.24","335.97","4.43B","-7.12%"
"01/01/2020","372.57","368.55","380.71","360.21","3.62B","1.41%"
"12/01/2019","367.38","365.82","367.41","352.70","3.69B","0.32%"
"11/01/2019","366.19","371.35","372.32","356.26","3.68B","-1.22%"
"10/01/2019","370.72","367.45","375.95","360.57","3.77B","0.73%"
"09/01/2019","368.02","362.56","371.18","358.76","4.08B","1.27%"
"08/01/2019","363.42","352.66","365.05","342.39","3.81B","3.25%"
"07/01/2019","351.98","347.98","359.35","341.63","3.70B","1.70%"
"06/01/2019","346.08","342.70","360.33","338.81","4.14B","1.22%"
"05/01/2019","341.92","342.84","348.63","335.05","4.01B","-0.22%"
"04/01/2019","342.66","343.73","347.89","331.55","3.35B","-0.19%"
"03/01/2019","343.33","331.70","344.42","327.23","4.02B","3.59%"
"02/01/2019","331.42","329.94","336.33","323.22","3.82B","0.60%"
"01/01/2019","329.45","293.18","329.76","288.20","3.92B","11.31%"
