Release Date,Time,Actual,Forecast,Previous
"Dec 12, 2024",16:15, , , 
"Oct 17, 2024",15:15, , , 
"Sep 12, 2024 (Sep)",15:15,3.65%,3.65%,4.25%
"Jul 18, 2024 (Jul)",15:15,4.25%,4.25%,4.25%
"Jun 06, 2024 (Jun)",15:15,4.25%,4.25%,4.50%
"Apr 11, 2024 (Apr)",15:15,4.50%,4.50%,4.50%
"Mar 07, 2024 (Mar)",16:15,4.50%,4.50%,4.50%
"Jan 25, 2024 (Jan)",16:15,4.50%,4.50%,4.50%
"Dec 14, 2023 (Dec)",16:15,4.50%,4.50%,4.50%
"Oct 26, 2023 (Oct)",15:15,4.50%,4.50%,4.50%
"Sep 14, 2023 (Sep)",15:15,4.50%,4.25%,4.25%
"Jul 27, 2023 (Jul)",15:15,4.25%,4.25%,4.00%
"Jun 15, 2023 (Jun)",15:15,4.00%,4.00%,3.75%
"May 04, 2023 (May)",15:15,3.75%,3.75%,3.50%
"Mar 16, 2023 (Mar)",16:15,3.50%,3.50%,3.00%
"Feb 02, 2023 (Feb)",16:15,3.00%,3.00%,2.50%
"Dec 15, 2022 (Dec)",16:15,2.50%,2.50%,2.00%
"Oct 27, 2022 (Oct)",15:15,2.00%,2.00%,1.25%
"Sep 08, 2022 (Sep)",15:15,1.25%,1.25%,0.50%
"Jul 21, 2022 (Jul)",15:15,0.50%,0.25%,0.00%
"Jun 09, 2022 (Jun)",14:45,0.00%,0.00%,0.00%
"Apr 14, 2022 (Apr)",14:45,0.00%,0.00%,0.00%
"Mar 10, 2022 (Mar)",15:45,0.00%,0.00%,0.00%
"Feb 03, 2022 (Feb)",15:45,0.00%,0.00%,0.00%
"Dec 16, 2021 (Dec)",15:45,0.00%,0.00%,0.00%
"Oct 28, 2021 (Oct)",14:45,0.00%,0.00%,0.00%
"Sep 09, 2021 (Aug)",14:45,0.00%,0.00%,0.00%
"Jul 22, 2021 (Jul)",14:45,0.00%,0.00%,0.00%
"Jun 10, 2021 (Jun)",14:45,0.00%,0.00%,0.00%
"Apr 22, 2021 (Apr)",14:45,0.00%,0.00%,0.00%
"Mar 11, 2021 (Mar)",15:45,0.00%,0.00%,0.00%
"Jan 21, 2021 (Jan)",15:45,0.00%,0.00%,0.00%
"Dec 10, 2020 (Dec)",15:45,0.00%,0.00%,0.00%
"Oct 29, 2020 (Oct)",15:45,0.00%,0.00%,0.00%
"Sep 10, 2020 (Sep)",14:45,0.00%,0.00%,0.00%
"Jul 16, 2020 (Jul)",14:45,0.00%,0.00%,0.00%
"Jun 04, 2020 (Jun)",14:45,0.00%,0.00%,0.00%
"Apr 30, 2020 (Apr)",14:45,0.00%,0.00%,0.00%
"Mar 12, 2020 (Mar)",15:45,0.00%,0.00%,0.00%
"Jan 23, 2020 (Jan)",15:45,0.00%,0.00%,0.00%
"Dec 12, 2019 (Dec)",15:45,0.00%,0.00%,0.00%
"Oct 24, 2019 (Oct)",14:45,0.00%,0.00%,0.00%
"Sep 12, 2019 (Sep)",14:45,0.00%,0.00%,0.00%
"Jul 25, 2019 (Jul)",14:45,0.00%,0.00%,0.00%
"Jun 06, 2019 (Jun)",14:45,0.00%,0.00%,0.00%
