Release Date	Time	Actual	Forecast	Previous	
Sep 20, 2024	22:30	-122.9K	 	-59.4K	
Sep 13, 2024	22:30	-59.4K	 	-48.8K	
Sep 06, 2024	22:30	-48.8K	 	-81.9K	
Aug 30, 2024	22:30	-81.9K	 	-84.8K	
Aug 23, 2024	22:30	-84.8K	 	-23.5K	
Aug 16, 2024	22:30	-23.5K	 	34.0K	
Aug 09, 2024	22:30	34.0K	 	12.0K	
Aug 02, 2024	22:30	12.0K	 	-13.2K	
Jul 26, 2024	22:30	-13.2K	 	-55.0K	
Jul 19, 2024	22:30	-55.0K	 	-55.0K	
Jul 12, 2024	22:30	-55.0K	 	-11.8K	
Jul 08, 2024	22:30	-11.8K	 	-65.2K	
Jun 28, 2024	22:30	-65.2K	 	-114.1K	
Jun 24, 2024	22:30	-114.1K	 	-111.4K	
Jun 14, 2024	22:30	-111.4K	 	-65.0K	
Jun 07, 2024	22:30	-65.0K	 	-2.2K	
May 31, 2024	22:30	-2.2K	 	-22.8K	
May 24, 2024	22:30	-22.8K	 	-25.3K	
May 17, 2024	22:30	-25.3K	 	-9.7K	
May 10, 2024	22:30	-9.7K	 	43.1K	
May 03, 2024	22:30	43.1K	 	67.7K	
Apr 26, 2024	22:30	67.7K	 	74.1K	
Apr 19, 2024	22:30	74.1K	 	-62.9K	
Apr 12, 2024	22:30	-62.9K	 	-78.1K	
Apr 05, 2024	22:30	-78.1K	 	-169.4K	
Mar 29, 2024	22:30	-169.4K	 	-194.2K	
Mar 22, 2024	22:30	-194.2K	 	-239.8K	
Mar 15, 2024	23:30	-239.8K	 	-204.4K	
Mar 08, 2024	23:30	-204.4K	 	-224.2K	
Mar 01, 2024	23:30	-224.2K	 	-218.5K	
Feb 23, 2024	23:30	-218.5K	 	-215.8K	
Feb 16, 2024	23:30	-215.8K	 	-233.0K	
Feb 09, 2024	23:30	-233.0K	 	-226.0K	
Feb 02, 2024	23:30	-226.0K	 	-189.5K	
Jan 26, 2024	23:30	-189.5K	 	-169.2K	
Jan 19, 2024	23:30	-169.2K	 	-117.0K	
Jan 12, 2024	23:30	-117.0K	 	-214.1K	
Jan 05, 2024	23:30	-214.1K	 	-192.5K	
