"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","571.83","610.96","611.34","553.53","2.81M","-6.30%"
"08/01/2024","610.25","598.00","613.64","554.82","3.73M","1.60%"
"07/01/2024","600.62","629.10","641.75","597.37","2.73M","-3.97%"
"06/01/2024","625.48","663.80","667.42","622.04","2.71M","-5.40%"
"05/01/2024","661.16","679.65","693.45","651.25","4.63M","-2.72%"
"04/01/2024","679.65","724.87","740.20","677.68","58.59M","-6.16%"
"03/01/2024","724.28","705.49","728.07","687.47","56.03M","2.99%"
"02/01/2024","703.28","621.26","709.85","619.87","74.80M","12.83%"
"01/01/2024","623.30","628.29","639.70","592.35","60.09M","-0.72%"
"12/01/2023","627.85","610.15","654.05","607.34","50.30M","3.07%"
"11/01/2023","609.12","555.90","612.64","552.20","70.39M","10.09%"
"10/01/2023","553.29","602.73","614.06","545.56","62.52M","-8.16%"
"09/01/2023","602.46","609.94","623.91","587.81","60.19M","-1.34%"
"08/01/2023","610.63","654.95","654.95","595.18","50.16M","-6.82%"
"07/01/2023","655.34","640.13","661.36","618.39","53.25M","2.27%"
"06/01/2023","640.78","594.32","650.79","594.32","60.67M","8.12%"
"05/01/2023","592.63","605.86","621.35","581.92","74.29M","-1.67%"
"04/01/2023","602.67","618.67","634.29","586.22","61.93M","-2.55%"
"03/01/2023","618.44","626.72","657.62","575.94","66.97M","-1.04%"
"02/01/2023","624.93","588.62","638.95","587.25","58.58M","6.45%"
"01/01/2023","587.09","528.94","591.48","528.94","54.94M","11.35%"
"12/01/2022","527.23","563.76","568.00","520.26","47.16M","-6.06%"
"11/01/2022","561.22","521.56","566.74","500.94","53.46M","7.93%"
"10/01/2022","519.99","476.07","523.50","464.66","53.49M","9.06%"
"09/01/2022","476.80","518.16","543.11","468.99","62.68M","-8.02%"
"08/01/2022","518.36","543.73","569.79","510.43","53.75M","-4.66%"
"07/01/2022","543.69","495.62","546.18","473.98","55.41M","9.54%"
"06/01/2022","496.36","575.84","591.19","486.49","63.88M","-13.37%"
"05/01/2022","572.99","553.15","579.93","530.78","71.60M","1.25%"
"04/01/2022","565.90","577.62","592.56","532.00","58.37M","-1.94%"
"03/01/2022","577.08","624.14","628.43","486.54","104.21M","-7.90%"
"02/01/2022","626.59","663.46","688.31","607.74","69.67M","-5.38%"
"01/01/2022","662.24","660.30","720.80","644.99","64.15M","0.38%"
"12/01/2021","659.72","632.90","688.41","630.00","45.64M","4.27%"
"11/01/2021","632.71","672.62","707.95","619.50","51.37M","-5.81%"
"10/01/2021","671.77","626.96","677.89","611.46","43.54M","6.52%"
"09/01/2021","630.66","628.41","640.65","585.87","58.43M","0.40%"
"08/01/2021","628.12","640.90","664.56","611.37","42.14M","-1.90%"
"07/01/2021","640.28","650.58","658.79","603.39","40.07M","-1.39%"
"06/01/2021","649.33","652.34","694.24","643.23","44.96M","-0.42%"
"05/01/2021","652.05","621.23","656.34","592.16","47.22M","4.93%"
"04/01/2021","621.41","651.02","668.98","616.61","41.70M","-4.72%"
"03/01/2021","652.16","560.90","658.54","558.50","73.06M","16.92%"
"02/01/2021","557.78","527.54","564.95","524.26","45.09M","6.43%"
"01/01/2021","524.10","529.21","543.26","505.07","71.43M","-0.60%"
"12/01/2020","527.26","505.05","540.21","499.83","51.45M","4.53%"
"11/01/2020","504.41","415.50","526.90","411.87","67.85M","21.86%"
"10/01/2020","413.93","427.41","452.02","406.00","58.63M","-3.48%"
"09/01/2020","428.84","420.04","451.96","410.47","64.62M","2.22%"
"08/01/2020","419.51","379.76","430.16","379.62","45.31M","10.49%"
"07/01/2020","379.67","391.05","424.78","379.67","57.78M","-3.06%"
"06/01/2020","391.65","374.94","435.51","368.55","90.32M","4.83%"
"05/01/2020","373.59","359.77","396.02","313.43","69.47M","3.84%"
"04/01/2020","359.77","315.70","379.77","290.83","63.31M","13.20%"
"03/01/2020","317.82","422.39","428.55","254.51","138.63M","-24.33%"
"02/01/2020","420.00","458.96","488.27","409.81","83.00M","-8.44%"
"01/01/2020","458.73","508.74","521.32","458.04","62.34M","-9.77%"
"12/01/2019","508.42","518.67","530.95","499.10","47.03M","-1.97%"
"11/01/2019","518.66","514.44","545.39","513.69","64.44M","1.05%"
"10/01/2019","513.29","481.20","531.25","452.52","82.51M","6.86%"
"09/01/2019","480.32","452.95","499.93","448.82","56.77M","6.01%"
"08/01/2019","453.07","480.38","484.46","430.30","58.32M","-5.86%"
"07/01/2019","481.28","490.92","514.20","472.61","63.79M","-1.82%"
"06/01/2019","490.19","458.14","494.85","453.25","55.04M","6.73%"
"05/01/2019","459.30","532.49","539.45","452.10","82.29M","-13.74%"
"04/01/2019","532.49","487.65","552.35","487.65","57.77M","9.31%"
"03/01/2019","487.14","502.58","512.37","475.70","63.75M","-2.81%"
"02/01/2019","501.23","493.87","507.21","459.60","59.21M","1.70%"
"01/01/2019","492.87","441.72","496.09","428.98","54.65M","11.57%"
"12/01/2018","441.77","476.69","499.60","430.04","59.91M","-7.21%"
"11/01/2018","476.11","494.64","518.06","468.67","61.41M","-3.77%"
"10/01/2018","494.74","534.52","542.40","464.65","79.93M","-7.52%"
"09/01/2018","534.96","536.72","568.95","515.26","56.06M","-0.47%"
"08/01/2018","537.49","570.35","571.89","525.47","60.18M","-5.59%"
"07/01/2018","569.34","545.58","575.34","539.10","67.27M","3.99%"
"06/01/2018","547.49","605.76","623.29","543.32","68.08M","-9.60%"
"05/01/2018","605.61","628.31","650.51","602.95","72.34M","-3.61%"
"04/01/2018","628.31","624.42","640.99","612.49","86.07M","0.22%"
"03/01/2018","626.96","630.75","631.12","597.09","102.93M","-0.59%"
"02/01/2018","630.65","664.28","671.76","613.95","90.91M","-5.02%"
"01/01/2018","663.96","614.85","690.31","600.38","114.50M","8.00%"
"12/01/2017","614.77","615.29","624.98","600.51","56.11M","-0.06%"
"11/01/2017","615.14","617.35","636.42","592.49","80.68M","0.00%"
"10/01/2017","615.14","593.95","617.73","591.84","85.09M","3.60%"
"09/01/2017","593.79","535.97","593.79","535.97","86.24M","10.81%"
"08/01/2017","535.85","528.82","547.12","526.70","85.63M","1.43%"
"07/01/2017","528.30","537.30","568.15","527.16","74.21M","-1.62%"
"06/01/2017","536.98","549.25","569.72","536.36","77.07M","-2.22%"
"05/01/2017","549.19","578.74","588.02","549.19","86.50M","-5.11%"
"04/01/2017","578.79","567.72","580.79","537.47","75.58M","2.05%"
"03/01/2017","567.14","555.67","574.93","549.97","83.95M","2.56%"
"02/01/2017","552.98","549.25","567.56","536.24","73.36M","1.15%"
"01/01/2017","546.71","541.37","573.59","539.75","110.64M","0.72%"
"12/01/2016","542.82","493.55","551.40","484.70","82.40M","9.89%"
"11/01/2016","493.97","499.92","505.07","464.69","95.29M","-0.96%"
"10/01/2016","498.77","484.76","503.30","479.14","82.12M","2.88%"
"09/01/2016","484.80","485.43","501.29","467.53","80.57M","0.01%"
"08/01/2016","484.77","482.74","498.19","455.84","73.99M","0.96%"
"07/01/2016","480.17","425.12","491.63","402.98","95.52M","13.24%"
"06/01/2016","424.02","490.27","491.58","414.69","100.98M","-13.54%"
"05/01/2016","490.40","491.52","497.66","458.41","82.65M","-0.08%"
"04/01/2016","490.78","500.07","518.49","453.36","90.77M","-2.16%"
"03/01/2016","501.63","471.36","509.92","468.76","89.00M","6.45%"
"02/01/2016","471.22","474.11","477.17","416.06","106.63M","-0.40%"
"01/01/2016","473.09","564.59","564.59","458.29","101.88M","-16.28%"
"12/01/2015","565.06","595.35","600.48","527.81","63.45M","-4.78%"
"11/01/2015","593.44","547.13","593.44","528.12","63.80M","8.32%"
"10/01/2015","547.85","468.12","550.68","453.97","108.84M","17.86%"
"09/01/2015","464.84","523.72","552.40","440.40","118.14M","-11.63%"
"08/01/2015","526.02","581.90","610.97","482.13","92.32M","-9.58%"
"07/01/2015","581.75","612.93","635.29","573.09","96.83M","-4.66%"
"06/01/2015","610.18","635.84","648.96","593.36","82.55M","-3.90%"
"05/01/2015","634.94","641.07","666.57","616.97","86.79M","-1.00%"
"04/01/2015","641.33","659.89","684.87","631.39","83.37M","-2.95%"
"03/01/2015","660.81","631.35","694.29","616.08","113.21M","4.86%"
"02/01/2015","630.19","575.17","630.27","572.75","77.82M","9.78%"
"01/01/2015","574.03","501.83","582.03","475.92","92.02M","14.51%"
"12/01/2014","501.31","498.82","517.48","465.84","88.82M","-0.07%"
"11/01/2014","501.66","462.45","501.81","453.20","71.99M","8.50%"
"10/01/2014","462.34","454.17","464.54","407.83","125.29M","1.50%"
"09/01/2014","455.51","477.68","498.26","449.96","80.43M","-4.53%"
