Release Date,Time,Actual,Forecast,Previous
"
"Sep 03, 2024 (Aug)",3:00,51.97%,52.20%,61.78%
"Aug 05, 2024 (Jul)",3:00,61.78%,62.10%,71.60%
"Jul 03, 2024 (Jun)",3:00,71.60%,72.60%,75.45%
"Jun 03, 2024 (May)",3:00,75.45%,74.80%,69.80%
"May 03, 2024 (Apr)",3:00,69.80%,70.33%,68.50%
"Apr 03, 2024 (Mar)",3:00,68.50%,69.10%,67.07%
"Mar 04, 2024 (Feb)",3:00,67.07%,65.74%,64.86%
"Feb 05, 2024 (Jan)",3:00,64.86%,64.52%,64.77%
"Jan 03, 2024 (Dec)",3:00,64.77%,65.10%,61.98%
"Dec 04, 2023 (Nov)",3:00,61.98%,63.00%,61.36%
"Nov 03, 2023 (Oct)",3:00,61.36%,62.12%,61.53%
"Oct 03, 2023 (Sep)",3:00,61.53%,61.70%,58.94%
"Sep 04, 2023 (Aug)",3:00,58.94%,55.90%,47.83%
"Aug 03, 2023 (Jul)",3:00,47.83%,47.30%,38.21%
"Jul 05, 2023 (Jun)",3:00,38.21%,39.47%,39.59%
"Jun 05, 2023 (May)",3:00,39.59%,39.20%,43.68%
"May 03, 2023 (Apr)",3:00,43.68%,51.33%,50.51%
"Apr 03, 2023 (Mar)",3:00,50.51%,51.33%,55.18%
"Mar 03, 2023 (Feb)",3:00,55.18%,55.50%,57.68%
"Feb 03, 2023 (Jan)",3:00,57.68%,53.50%,64.27%
"Jan 03, 2023 (Dec)",3:00,64.27%,66.53%,84.39%
"Dec 05, 2022 (Nov)",3:00,84.39%,84.65%,85.51%
"Nov 03, 2022 (Oct)",3:00,85.51%,85.60%,83.45%
"Oct 03, 2022 (Sep)",3:00,83.45%,84.63%,80.21%
"Sep 05, 2022 (Aug)",3:00,80.21%,81.22%,79.60%
"Aug 03, 2022 (Jul)",3:00,79.60%,80.50%,78.62%
"Jul 04, 2022 (Jun)",3:00,78.62%,78.35%,73.50%
"Jun 03, 2022 (May)",3:00,73.50%,76.55%,69.97%
"May 05, 2022 (Apr)",3:00,69.97%,68.00%,61.14%
"Apr 04, 2022 (Mar)",3:00,61.14%,61.60%,54.44%
"Mar 03, 2022 (Feb)",3:00,54.44%,52.95%,48.69%
"Feb 03, 2022 (Jan)",3:00,48.69%,46.68%,36.08%
"Jan 03, 2022",3:00,36.08%,30.60%,21.31%
