Release Date,Time,Actual,Forecast,Previous
"Sep 03, 2024 (Aug)",3:00,35.75%, ,41.37%
"Aug 05, 2024 (Jul)",3:00,41.37%, ,50.09%
"Jul 03, 2024 (Jun)",3:00,50.09%, ,57.68%
"Jun 03, 2024 (May)",3:00,57.68%, ,55.66%
"May 03, 2024 (Apr)",3:00,55.66%, ,51.47%
"Apr 03, 2024 (Mar)",3:00,51.47%, ,47.29%
"Mar 04, 2024 (Feb)",3:00,47.29%, ,44.20%
"Feb 05, 2024 (Jan)",3:00,44.20%, ,44.22%
"Jan 03, 2024 (Dec)",3:00,44.22%, ,42.25%
"Dec 04, 2023 (Nov)",3:00,42.25%, ,39.39%
"Nov 03, 2023 (Oct)",3:00,39.39%, ,47.44%
"Oct 03, 2023 (Sep)",3:00,47.44%, ,49.41%
"Sep 04, 2023 (Aug)",3:00,49.41%, ,44.50%
"Aug 03, 2023 (Jul)",3:00,44.50%, ,40.42%
"Jul 05, 2023 (Jun)",3:00,40.42%, ,40.76%
"Jun 05, 2023 (May)",3:00,40.76%, ,52.11%
"May 03, 2023 (Apr)",3:00,52.11%, ,62.45%
"Apr 03, 2023 (Mar)",3:00,62.45%, ,76.61%
"Mar 03, 2023 (Feb)",3:00,76.61%, ,86.46%
"Feb 03, 2023 (Jan)",3:00,86.46%, ,97.72%
"Jan 03, 2023 (Dec)",3:00,97.72%, ,136.02%
"Dec 05, 2022 (Nov)",3:00,136.02%, ,157.69%
"Nov 03, 2022 (Oct)",3:00,157.69%, ,151.50%
"Oct 03, 2022 (Sep)",3:00,151.50%, ,143.75%
"Sep 05, 2022 (Aug)",3:00,143.75%, ,144.61%
"Aug 03, 2022 (Jul)",3:00,144.61%, ,138.31%
"Jul 04, 2022 (Jun)",3:00,138.31%, ,132.16%
"Jun 03, 2022 (May)",3:00,132.16%, ,121.82%
"May 05, 2022 (Apr)",3:00,121.82%, ,114.97%
"Apr 04, 2022 (Mar)",3:00,114.97%, ,105.01%
"Mar 03, 2022 (Feb)",3:00,105.01%, ,93.53%
"Feb 03, 2022 (Jan)",3:00,93.53%, ,79.89%
"Jan 03, 2022",3:00,79.89%, ,54.62%
"Dec 03, 2021 (Nov)",3:00,54.62%, ,46.31%
"Nov 03, 2021 (Oct)",3:00,46.31%, ,43.96%
"Oct 04, 2021 (Sep)",3:00,43.96%, ,45.52%
"Sep 03, 2021 (Aug)",3:00,45.52%, ,44.92%
"Aug 03, 2021 (Jul)",3:00,44.92%, ,42.89%
"Jul 05, 2021 (Jun)",3:00,42.89%, ,38.33%
"Jun 03, 2021 (May)",3:00,38.33%, ,35.17%
"May 03, 2021 (Apr)",3:00,35.17%, ,31.20%
"Apr 05, 2021 (Mar)",3:00,31.20%, ,27.09%
"Mar 03, 2021 (Feb)",3:00,27.09%, ,26.16%
"Feb 03, 2021 (Jan)",3:00,26.16%, ,25.15%
"Jan 04, 2021",3:00,25.15%, ,23.11%
"Dec 03, 2020 (Nov)",3:00,23.11%, ,18.20%
"Nov 03, 2020 (Oct)",3:00,18.20%, ,14.33%
"Oct 05, 2020 (Sep)",3:00,14.33%, ,11.53%
"Sep 03, 2020 (Aug)",3:00,11.53%, ,8.33%
"Aug 04, 2020 (Jul)",3:00,8.33%, ,6.17%
"Jul 03, 2020 (Jun)",3:00,6.17%, ,5.53%
"Jun 03, 2020 (May)",3:00,5.53%, ,6.71%
"May 04, 2020 (Apr)",3:00,6.71%, ,8.50%
"Apr 03, 2020 (Mar)",3:00,8.50%, ,9.26%
"Mar 03, 2020 (Feb)",3:00,9.26%, ,8.84%
"Feb 03, 2020 (Jan)",3:00,8.84%, ,7.36%
"Jan 03, 2020 (Dec)",3:00,7.36%, ,4.26%
"Dec 03, 2019 (Nov)",3:00,4.26%, ,1.70%
"Nov 04, 2019 (Oct)",3:00,1.70%, ,2.45%
"Oct 03, 2019 (Sep)",3:00,2.45%, ,13.45%
