"Date","Price","Open","High","Low","Change %"
"04/07/2025","3.982","3.939","4.015","3.866","2.73%"
"04/06/2025","3.876","3.926","3.909","3.835","-3.08%"
"04/04/2025","3.999","4.044","4.049","3.860","-0.92%"
"04/03/2025","4.036","4.044","4.100","4.004","-2.16%"
"04/02/2025","4.125","4.199","4.236","4.110","-0.85%"
"04/01/2025","4.160","4.211","4.217","4.133","-1.18%"
"03/31/2025","4.210","4.217","4.259","4.184","-0.97%"
"03/28/2025","4.251","4.361","4.361","4.247","-2.50%"
"03/27/2025","4.360","4.338","4.400","4.338","0.18%"
"03/26/2025","4.353","4.327","4.361","4.315","0.85%"
"03/25/2025","4.316","4.335","4.369","4.298","-0.49%"
"03/24/2025","4.338","4.271","4.340","4.267","2.08%"
"03/21/2025","4.249","4.235","4.256","4.200","0.22%"
"03/20/2025","4.240","4.237","4.250","4.174","-0.14%"
"03/19/2025","4.246","4.293","4.323","4.241","-0.87%"
"03/18/2025","4.283","4.299","4.339","4.266","-0.34%"
"03/17/2025","4.298","4.289","4.331","4.258","-0.47%"
"03/14/2025","4.318","4.280","4.324","4.274","1.14%"
"03/13/2025","4.269","4.318","4.353","4.259","-1.07%"
"03/12/2025","4.315","4.282","4.332","4.251","0.80%"
"03/11/2025","4.281","4.202","4.295","4.152","1.49%"
"03/10/2025","4.218","4.263","4.297","4.198","-2.00%"
"03/07/2025","4.304","4.280","4.328","4.209","0.58%"
"03/06/2025","4.279","4.294","4.344","4.267","0.00%"
"03/05/2025","4.279","4.239","4.294","4.185","0.90%"
"03/04/2025","4.241","4.142","4.252","4.106","2.01%"
"03/03/2025","4.158","4.244","4.263","4.146","-1.04%"
"02/28/2025","4.202","4.264","4.277","4.193","-1.48%"
"02/27/2025","4.265","4.270","4.313","4.262","0.24%"
"02/26/2025","4.254","4.293","4.339","4.245","-1.00%"
"02/25/2025","4.297","4.396","4.398","4.283","-2.32%"
"02/24/2025","4.399","4.441","4.457","4.389","-0.70%"
"02/21/2025","4.430","4.507","4.511","4.406","-1.68%"
"02/20/2025","4.506","4.535","4.535","4.492","-0.60%"
"02/19/2025","4.534","4.554","4.576","4.529","-0.39%"
"02/18/2025","4.551","4.492","4.560","4.488","1.66%"
