Release Date,Time,Actual,Forecast,Previous
"Sep 11, 2024 (Aug)",15:30, ,0.2%,0.2%
"Aug 14, 2024 (Jul)",15:30,0.2%,0.2%,0.1%
"Jul 11, 2024 (Jun)",15:30,0.1%,0.2%,0.2%
"Jun 12, 2024 (May)",15:30,0.2%,0.3%,0.3%
"May 15, 2024 (Apr)",15:30,0.3%,0.3%,0.4%
"Apr 10, 2024 (Mar)",15:30,0.4%,0.3%,0.4%
"Mar 12, 2024 (Feb)",15:30,0.4%,0.3%,0.4%
"Feb 13, 2024 (Jan)",16:30,0.4%,0.3%,0.3%
"Jan 11, 2024 (Dec)",16:30,0.3%,0.3%,0.3%
"Dec 12, 2023 (Nov)",16:30,0.3%,0.3%,0.2%
"Nov 14, 2023 (Oct)",16:30,0.2%,0.3%,0.3%
"Oct 12, 2023 (Sep)",15:30,0.3%,0.3%,0.3%
"Sep 13, 2023 (Aug)",15:30,0.3%,0.2%,0.2%
"Aug 10, 2023 (Jul)",15:30,0.2%,0.2%,0.2%
"Jul 12, 2023 (Jun)",15:30,0.2%,0.3%,0.4%
"Jun 13, 2023 (May)",15:30,0.4%,0.4%,0.4%
"May 10, 2023 (Apr)",15:30,0.4%,0.4%,0.4%
"Apr 12, 2023 (Mar)",15:30,0.4%,0.4%,0.5%
"Mar 14, 2023 (Feb)",15:30,0.5%,0.4%,0.4%
"Feb 14, 2023 (Jan)",16:30,0.4%,0.4%,0.4%
"Jan 12, 2023 (Dec)",16:30,0.3%,0.3%,0.3%
"Dec 13, 2022 (Nov)",16:30,0.2%,0.3%,0.3%
"Nov 10, 2022 (Oct)",16:30,0.3%,0.5%,0.6%
"Oct 13, 2022 (Sep)",15:30,0.6%,0.5%,0.6%
"Sep 13, 2022 (Aug)",15:30,0.6%,0.3%,0.3%
"Aug 10, 2022 (Jul)",15:30,0.3%,0.5%,0.7%
"Jul 13, 2022 (Jun)",15:30,0.7%,0.6%,0.6%
"Jun 10, 2022 (May)",15:30,0.6%,0.5%,0.6%
"May 11, 2022 (Apr)",15:30,0.6%,0.4%,0.3%
"Apr 12, 2022 (Mar)",15:30,0.3%,0.5%,0.5%
"Mar 10, 2022 (Feb)",16:30,0.5%,0.5%,0.6%
"Feb 10, 2022 (Jan)",16:30,0.6%,0.5%,0.6%
"Jan 12, 2022 (Dec)",16:30,0.6%,0.5%,0.5%
"Dec 10, 2021 (Nov)",16:30,0.5%,0.5%,0.6%
"Nov 10, 2021 (Oct)",16:30,0.6%,0.4%,0.2%
"Oct 13, 2021 (Sep)",15:30,0.2%,0.2%,0.1%
"Sep 14, 2021 (Aug)",15:30,0.1%,0.3%,0.3%
"Aug 11, 2021 (Jul)",15:30,0.3%,0.4%,0.9%
"Jul 13, 2021 (Jun)",15:30,0.9%,0.4%,0.7%
"Jun 10, 2021 (May)",15:30,0.7%,0.4%,0.9%
"May 12, 2021 (Apr)",15:30,0.9%,0.3%,0.3%
"Apr 13, 2021 (Mar)",15:30,0.3%,0.2%,0.1%
"Mar 10, 2021 (Feb)",16:30,0.1%,0.2%,0.1%
"Feb 10, 2021 (Jan)",16:30,0.0%,0.2%,0.1%
"Jan 13, 2021 (Dec)",16:30,0.1%,0.1%,0.2%
"Dec 10, 2020 (Nov)",16:30,0.2%,0.1%,0.2%
"Nov 12, 2020 (Oct)",16:30,0.0%,0.2%,0.2%
"Oct 13, 2020 (Sep)",15:30,0.2%,0.2%,0.4%
"Sep 11, 2020 (Aug)",15:30,0.4%,0.2%,0.6%
"Aug 12, 2020 (Jul)",15:30,0.6%,0.2%,0.2%
"Jul 14, 2020 (Jun)",15:30,0.2%,0.1%,-0.1%
"Jun 10, 2020 (May)",15:30,-0.1%,-0.1%,-0.4%
"May 12, 2020 (Apr)",15:30,-0.4%,-0.2%,-0.1%
"Apr 10, 2020 (Mar)",15:30,-0.1%,0.1%,0.2%
"Mar 11, 2020 (Feb)",15:30,0.2%,0.2%,0.2%
"Feb 13, 2020 (Jan)",16:30,0.2%,0.2%,0.1%
"Jan 14, 2020 (Dec)",16:30,0.1%,0.2%,0.2%
"Dec 11, 2019 (Nov)",16:30,0.2%,0.2%,0.2%
"Nov 13, 2019 (Oct)",16:30,0.2%,0.2%,0.1%
"Oct 10, 2019 (Sep)",15:30,0.1%,0.2%,0.3%
"Sep 12, 2019 (Aug)",15:30,0.3%,0.2%,0.3%
"Aug 13, 2019 (Jul)",15:30,0.3%,0.2%,0.3%
"Jul 11, 2019 (Jun)",15:30,0.3%,0.2%,0.1%
"Jun 12, 2019 (May)",15:30,0.1%,0.2%,0.1%
"May 10, 2019 (Apr)",15:30,0.1%,0.2%,0.1%
"Apr 10, 2019 (Mar)",15:30,0.1%,0.2%,0.1%
"Mar 12, 2019 (Feb)",15:30,0.1%,0.2%,0.2%
"Feb 13, 2019 (Jan)",16:30,0.2%,0.2%,0.2%
"Jan 11, 2019 (Dec)",16:30,0.2%,0.2%,0.2%
"Dec 12, 2018 (Nov)",16:30,0.2%,0.2%,0.2%
"Nov 14, 2018 (Oct)",16:30,0.2%,0.2%,0.1%
"Oct 11, 2018 (Sep)",15:30,0.1%,0.2%,0.1%
"Sep 13, 2018 (Aug)",15:30,0.1%,0.2%,0.2%
"Aug 10, 2018 (Jul)",15:30,0.2%,0.2%,0.2%
"Jul 12, 2018 (Jun)",15:30,0.2%,0.2%,0.2%
"Jun 12, 2018 (May)",15:30,0.2%,0.1%,0.1%
"May 10, 2018 (Apr)",15:30,0.1%,0.2%,0.2%
"Apr 11, 2018 (Mar)",15:30,0.2%,0.2%,0.2%
"Mar 13, 2018 (Feb)",15:30,0.2%,0.2%,0.3%
"Feb 14, 2018 (Jan)",16:30,0.3%,0.2%,0.2%
"Jan 12, 2018 (Dec)",16:30,0.3%,0.2%,0.1%
"Dec 13, 2017 (Nov)",16:30,0.1%,0.2%,0.2%
"Nov 15, 2017 (Oct)",16:30,0.2%,0.2%,0.1%
"Oct 13, 2017 (Sep)",15:30,0.1%,0.2%,0.2%
"Sep 14, 2017 (Aug)",15:30,0.2%,0.2%,0.1%
"Aug 11, 2017 (Jul)",15:30,0.1%,0.2%,0.1%
"Jul 14, 2017 (Jun)",15:30,0.1%,0.2%,0.1%
"Jun 14, 2017 (May)",15:30,0.1%,0.2%,0.1%
"May 12, 2017 (Apr)",15:30,0.1%,0.2%,-0.1%
"Apr 14, 2017 (Mar)",15:30,-0.1%,0.2%,0.2%
"Mar 15, 2017 (Feb)",15:30,0.2%,0.2%,0.3%
"Feb 15, 2017 (Jan)",16:30,0.3%,0.2%,0.2%
"Jan 18, 2017 (Dec)",16:30,0.2%,0.2%,0.2%
"Dec 15, 2016 (Nov)",16:30,0.2%,0.2%,0.1%
"Nov 17, 2016 (Oct)",16:30,0.1%,0.2%,0.1%
"Oct 18, 2016 (Sep)",15:30,0.1%,0.2%,0.3%
"Sep 16, 2016 (Aug)",15:30,0.3%,0.2%,0.1%
"Aug 16, 2016 (Jul)",15:30,0.1%,0.2%,0.2%
"Jul 15, 2016 (Jun)",15:30,0.2%,0.2%,0.2%
"Jun 16, 2016 (May)",15:30,0.2%,0.2%,0.2%
"May 17, 2016 (Apr)",15:30,0.2%,0.2%,0.1%
"Apr 14, 2016 (Mar)",15:30,0.1%,0.2%,0.3%
"Mar 16, 2016 (Feb)",15:30,0.3%,0.2%,0.3%
"Feb 19, 2016 (Jan)",16:30,0.3%,0.2%,0.2%
"Jan 20, 2016 (Dec)",16:30,0.1%,0.2%,0.2%
"Dec 15, 2015 (Nov)",16:30,0.2%,0.2%,0.2%
"Nov 17, 2015 (Oct)",16:30,0.2%,0.2%,0.2%
"Oct 15, 2015 (Sep)",15:30,0.2%,0.1%,0.1%
"Sep 16, 2015 (Aug)",15:30,0.1%,0.1%,0.1%
"Aug 19, 2015 (Jul)",15:30,0.1%,0.2%,0.2%
"Jul 17, 2015 (Jun)",15:30,0.2%,0.2%,0.1%
"Jun 18, 2015 (May)",15:30,0.1%,0.2%,0.3%
"May 22, 2015 (Apr)",15:30,0.3%,0.2%,0.2%
"Apr 17, 2015 (Mar)",15:30,0.2%,0.2%,0.2%
"Mar 24, 2015 (Feb)",15:30,0.2%,0.1%,0.2%
"Feb 26, 2015 (Jan)",16:30,0.2%,0.1%,0.0%
"Jan 16, 2015 (Dec)",16:30,0.0%,0.1%,0.1%
"Dec 17, 2014 (Nov)",16:30,0.1%,0.1%,0.2%
"Nov 20, 2014 (Oct)",16:30,0.2%,0.2%,0.1%
"Oct 22, 2014 (Sep)",15:30,0.1%,0.2%,0.0%
"Sep 17, 2014 (Aug)",15:30,0.0%,0.2%,0.1%
"Aug 19, 2014",15:30,0.1%,0.2%,0.1%
"Jul 22, 2014",15:30,0.1%,0.2%,0.3%
"Jun 17, 2014",15:30,0.3%,0.2%,0.2%
15-May-14,15:30,0.2%,0.1%,0.2%
"Apr 15, 2014",15:30,0.2%,0.1%,0.1%
18-Mar-14,15:30,0.1%,0.1%,0.1%
"Feb 20, 2014",16:30,0.1%,0.1%,0.1%
"Jan 16, 2014",16:30,0.1%,0.1%,0.2%
"Dec 17, 2013",16:30,0.2%,0.1%,0.1%
