Release Date	Time	Actual	Forecast	Previous	
Aug 22, 2024 (Jul)	17:00	3.95M	3.94M	3.90M	
Jul 23, 2024 (Jun)	17:00	3.89M	3.99M	4.11M	
Jun 21, 2024 (May)	17:00	4.11M	4.08M	4.14M	
May 22, 2024 (Apr)	17:00	4.14M	4.21M	4.22M	
Apr 18, 2024 (Mar)	17:00	4.19M	4.20M	4.38M	
Mar 21, 2024 (Feb)	17:00	4.38M	3.95M	4.00M	
Feb 22, 2024 (Jan)	18:00	4.00M	3.96M	3.88M	
Jan 19, 2024 (Dec)	18:00	3.78M	3.82M	3.82M	
Dec 20, 2023 (Nov)	18:00	3.82M	3.78M	3.79M	
Nov 21, 2023 (Oct)	18:00	3.79M	3.90M	3.95M	
Oct 19, 2023 (Sep)	17:00	3.96M	3.89M	4.04M	
Sep 21, 2023 (Aug)	17:00	4.04M	4.10M	4.07M	
Aug 22, 2023 (Jul)	17:00	4.07M	4.15M	4.16M	
Jul 20, 2023 (Jun)	17:00	4.16M	4.20M	4.30M	
Jun 22, 2023 (May)	17:00	4.30M	4.25M	4.29M	
May 18, 2023 (Apr)	17:00	4.28M	4.30M	4.43M	
Apr 20, 2023 (Mar)	17:00	4.44M	4.50M	4.55M	
Mar 21, 2023	17:00	4.58M	4.19M	4.00M	
Feb 21, 2023 (Jan)	18:00	4.00M	4.10M	4.03M	
Jan 20, 2023 (Dec)	18:00	4.02M	3.96M	4.08M	
Dec 21, 2022 (Nov)	18:00	4.09M	4.20M	4.43M	
Nov 18, 2022 (Oct)	18:00	4.43M	4.38M	4.71M	
Oct 20, 2022 (Sep)	17:00	4.71M	4.70M	4.78M	
Sep 21, 2022 (Aug)	17:00	4.80M	4.70M	4.82M	
Aug 18, 2022 (Jul)	17:00	4.81M	4.89M	5.11M	
Jul 20, 2022 (Jun)	17:00	5.12M	5.38M	5.41M	
Jun 21, 2022 (May)	17:00	5.41M	5.39M	5.60M	
May 19, 2022 (Apr)	17:00	5.61M	5.65M	5.75M	
Apr 20, 2022 (Mar)	17:00	5.77M	5.80M	5.93M	
Mar 18, 2022 (Feb)	17:00	6.02M	6.10M	6.49M	
Feb 18, 2022 (Jan)	18:00	6.50M	6.10M	6.09M	
Jan 20, 2022 (Dec)	18:00	6.18M	6.44M	6.48M	
Dec 22, 2021 (Nov)	18:00	6.46M	6.52M	6.34M	
Nov 22, 2021 (Oct)	18:00	6.34M	6.20M	6.29M	
Oct 21, 2021 (Sep)	17:00	6.29M	6.09M	5.88M	
Sep 22, 2021 (Aug)	17:00	5.88M	5.89M	6.00M	
Aug 23, 2021 (Jul)	17:00	5.99M	5.83M	5.87M	
Jul 22, 2021 (Jun)	17:00	5.86M	5.90M	5.78M	
Jun 22, 2021 (May)	17:00	5.80M	5.72M	5.85M	
May 21, 2021 (Apr)	17:00	5.85M	6.09M	6.01M	
Apr 22, 2021 (Mar)	17:00	6.01M	6.19M	6.24M	
Mar 22, 2021 (Feb)	17:00	6.22M	6.50M	6.66M	
Feb 19, 2021 (Jan)	18:00	6.69M	6.61M	6.65M	
Jan 22, 2021 (Dec)	18:00	6.76M	6.55M	6.71M	
Dec 22, 2020 (Nov)	18:00	6.69M	6.70M	6.86M	
